x,y,Thermal Conductivity,Lattice Parameter(WPF),delta_d(SPF-WPF),d-spacing(WPF),Fluorite Size Disorder,Entropy,strain(LMFIT-dspacing),a111(LMFIT),a200(LMFIT),mismatch(LMFIT-lattice parameter),d111(LMFIT),d200(LMFIT),corr_length,fwhm111(LMFIT),delta_d/d
-2.3,-1.6,0.947644193,5.24613,0.0181972749030978,2.623065,0.1028337197762881,4.007724124347543,0.12777,5.247225,5.284819,-0.007165,3.029487,2.642409,2.948660272867483,0.095803,0.006937409062717775
-2.3,-1.5,0.0,5.24613,0.0181972749030978,2.623065,0.1027834026738794,4.016797134654301,0.12777,5.247225,5.284819,-0.007165,3.029487,2.642409,2.948660272867483,0.095803,0.006937409062717775
-2.3,-1.4,0.0,5.24613,0.0181972749030978,2.623065,0.1027834026738794,4.016797134654301,0.12777,5.247225,5.284819,-0.007165,3.029487,2.642409,2.948660272867483,0.095803,0.006937409062717775
-2.3,-1.3,0.0,5.245626,0.0179355375341065,2.622813,0.1025947566058158,4.037218212724055,0.12777,5.246648,5.284238,-0.007164,3.029154,2.642119,2.948660272867483,0.095498,0.0068382829939101645
-2.3,-1.2,0.0,5.245626,0.0179355375341065,2.622813,0.102212488716594,4.04722986027549,0.12777,5.246648,5.284238,-0.007164,3.029154,2.642119,2.948660272867483,0.095498,0.0068382829939101645
-2.3,-1.1,0.0,5.245469,0.0184027933537835,2.6227345,0.102212488716594,4.04722986027549,0.12765,5.246352,5.284669,-0.007303,3.028983,2.642334,2.948660272867483,0.095491,0.007016643641887313
-2.3,-1.0,0.786955326,5.245469,0.0184027933537835,2.6227345,0.1020838025381865,4.050469668062557,0.12765,5.246352,5.284669,-0.007303,3.028983,2.642334,2.948660272867483,0.095491,0.007016643641887313
-2.3,-0.9,0.741405378,5.245469,0.0184027933537835,2.6227345,0.1019559776316671,4.053652555483409,0.12765,5.246352,5.284669,-0.007303,3.028983,2.642334,3.574879048407266,0.095491,0.007016643641887313
-2.3,-0.8,0.76098905,5.243176,0.0188697762774818,2.621588,0.101844555277078,4.064665633574467,0.127678,5.243948,5.282073,-0.00727,3.027595,2.641036,4.255050059929447,0.095988,0.007197842024559847
-2.3,-0.7,0.823427351,5.243176,0.0188697762774818,2.621588,0.1017130127862067,4.068087972182739,0.127678,5.243948,5.282073,-0.00727,3.027595,2.641036,4.768259069970413,0.095988,0.007197842024559847
